lat,lon,elev,desc
9980961.474,282612.316,2013.07,sh
9980965.283,282608.077,2013.251,sh
9980968.204,282613.418,2014.075,sh
9980964.623,282618.428,2014.101,sh
9980969.044,282616.6,2014.102,sh
9980970.239,282619.05,2014.459,sh
9980971.257,282622.177,2014.738,sh
9980972.009,282625.776,2015.092,sh
9980970.277,282627.225,2014.78,sh
9980965.707,282625.689,2014.464,sh
9980960.703,282624.698,2013.907,sh
9980958.785,282629.953,2013.757,sh
9980963.566,282632.105,2014.288,sh
9980967.479,282633.987,2014.777,sh
9980966.033,282636.487,2014.712,sh
9980963.535,282639.943,2014.599,sh
9980962.333,282638.512,2014.302,sh
9980960.077,282637.424,2014.201,tr
9980959.454,282638.32,2013.792,sh
9980955.54,282634.764,2013.407,sh
9980953.43,282633.877,2012.794,sh
9980949.066,282632.176,2012.252,sh
9980943.963,282631.521,2011.807,sh
9980942.805,282638.181,2012.059,sh
9980949.553,282640.054,2012.711,sh
9980951.221,282640.824,2013.175,sh
9980955.757,282643.013,2013.727,sh
9980959.426,282645.47,2014.436,sh
9980956.183,282650.477,2014.548,sh
9980951.314,282650.018,2013.883,sh
9980948.514,282648.64,2013.403,sh
9980945.15,282646.077,2012.91,sh
9980942.046,282645.443,2012.702,sh
9980939.934,282649.694,2012.488,sh
9980944.067,282652.381,2013.155,sh
9980946.417,282655.19,2013.683,sh
9980943.774,282658.57,2013.524,sh
9980940.359,282655.738,2012.854,sh
9980937.071,282653.87,2012.158,sh
9980934.791,282656.82,2012.408,sh
9980938.235,282659.039,2013.12,sh
9980941.733,282661.163,2013.492,sh
9980939.526,282664.242,2013.708,sh
9980937.151,282662.654,2013.317,sh
9980933.442,282661.506,2012.64,sh
9980931.835,282664.858,2012.907,sh
9980935.981,282668.271,2013.789,sh
9980934.033,282671.302,2013.75,sh
9980931.278,282670.124,2013.213,sh
9980928.029,282668.769,2012.455,sh
9980928.032,282669.443,2012.617,sh
9980926.481,282671.45,2012.316,sh
9980929.087,282674.334,2013.141,sh
9980926.996,282676.899,2013.319,sh
9980923.675,282675.152,2012.694,sh
9980916.561,282682.114,2012.494,sh
9980919.719,282679.605,2012.759,sh
9980922.036,282676.939,2012.832,sh
9980923.257,282678.386,2013.079,sh
9980920.792,282681.035,2012.953,sh
9980918.655,282684.413,2013.079,sh
9980920.343,282684.715,2013.44,sh
9980923.795,282689.942,2014.07,sh
9980925.931,282688.307,2014.2,sh
9980923.775,282686.319,2013.991,sh
9980925.74,282683.962,2014.003,sh
9980929.486,282685.913,2014.37,sh
9980931.137,282682.881,2014.382,sh
9980929.353,282680.117,2014.116,sh
9980931.109,282678.061,2014.113,sh
9980934.1,282679.874,2014.581,sh
9980935.73,282677.294,2014.491,sh
9980933.103,282675.245,2014.093,sh
9980934.796,282672.676,2014.085,sh
9980938.267,282674.421,2014.537,sh
9980939.447,282671.473,2014.378,sh
9980937.097,282669.679,2014.068,sh
9980938.138,282666.88,2013.838,sh
9980938.401,282667.159,2014.011,sh
9980941.418,282669.526,2014.346,sh
9980943.449,282666.592,2014.327,sh
9980940.737,282663.529,2013.756,sh
9980941.013,282663.739,2013.981,sh
9980943.04,282660.473,2013.591,sh
9980943.382,282660.835,2013.851,sh
9980944.681,282661.764,2014.01,sh
9980947.667,282664.308,2014.538,sh
9980950.599,282661.632,2014.585,sh
9980947.917,282659.754,2014.094,sh
9980950.722,282657.117,2014.464,sh
9980954.571,282659.015,2015.109,sh
9980957.092,282656.729,2015.256,sh
9980954.119,282653.451,2014.477,sh
9980958.436,282646.856,2014.349,sh
9980956.222,282650.819,2014.579,sh
9980956.781,282651.269,2014.891,sh
9980958.915,282653.954,2015.156,sh
9980962.455,282651.498,2015.532,sh
9980965.407,282649.448,2015.746,sh
9980961.376,282648.217,2015.232,sh
9980964.594,282644.865,2015.302,sh
9980967.804,282646.784,2016.157,sh
9980970.719,282644.154,2016.249,sh
9980969.765,282640.713,2015.68,sh
9980973.749,282637.857,2015.997,sh
9980977.859,282634.452,2016.641,sh
9980980.37,282640.155,2017.34,sh
9980981.749,282643.593,2018.147,sh
9980984.157,282648.672,2018.374,sh
9980981.783,282649.883,2017.534,sh
9980980.04,282648.057,2017.28,sh
9980977.347,282641.886,2016.507,sh
9980978.156,282643.479,2016.958,sh
9980973.454,282645.732,2016.477,sh
9980973.931,282646.359,2016.692,sh
9980974.468,282647.159,2017.019,sh
9980977.606,282651.319,2017.295,sh
9980979.563,282654.769,2017.475,sh
9980976.541,282656.167,2017.225,sh
9980973.561,282652.055,2016.957,sh
9980970.537,282648.798,2016.444,sh
9980968.034,282651.902,2016.306,sh
9980968.388,282652.331,2016.466,sh
9980971.152,282657.045,2016.689,sh
9980973.374,282659.828,2016.85,sh
9980970.222,282661.708,2016.72,sh
9980967.318,282659.195,2016.489,sh
9980964.94,282656.564,2016.369,sh
9980966.992,282654.117,2016.441,sh
9980965.975,282652.955,2015.934,sh
9980963.476,282655.255,2015.772,sh
9980961.138,282657.574,2015.75,sh
9980961.611,282658.67,2016.188,sh
9980963.985,282662.926,2016.346,sh
9980965.553,282666.618,2016.32,sh
9980957.024,282664.422,2015.776,sh
9980944.48,282669.808,2014.64,sh
9980948.268,282667.298,2014.817,sh
9980950.317,282665.742,2014.715,sh
9980951.251,282666.108,2015.376,sh
9980952.712,282664.632,2015.354,sh
9980951.508,282660.741,2014.687,sh
9980954.298,282662.286,2015.204,sh
9980957.652,282664.025,2015.854,sh
9980960.335,282666.662,2016.097,sh
9980957.839,282669.172,2016.034,sh
9980958.551,282672.765,2016.402,sh
9980952.456,282670.235,2016.179,sh
9980948.883,282667.866,2015.477,sh
9980951.373,282665.849,2015.37,sh
9980955.278,282674.129,2016.755,sh
9980952.265,282673.561,2016.751,sh
9980949.051,282673.093,2016.575,sh
9980947.518,282672.439,2016.233,sh
9980944.944,282670.806,2015.69,sh
9980945.207,282674.583,2016.173,sh
9980943.231,282673.421,2015.392,sh
9980942.311,282672.895,2014.747,sh
9980940.863,282677.102,2015.331,sh
9980939.869,282676.487,2014.842,sh
9980945.591,282675.044,2016.2,sh
9980950.247,282676.314,2016.86,sh
9980951.835,282679.859,2016.805,sh
9980947.402,282679.789,2016.543,sh
9980946.011,282680.348,2016.66,sh
9980944.012,282680.533,2016.092,sh
9980942.681,282681.203,2015.535,sh
9980947.952,282683.353,2016.327,sh
9980943.478,282689.802,2016.064,sh
9980937.946,282686.433,2015.49,sh
9980933.746,282683.608,2014.701,sh
9980935.06,282684.686,2015.258,sh
9980932.304,282688.633,2015.071,sh
9980931.799,282688.543,2014.764,sh
9980930.117,282690.961,2014.747,sh
9980931.753,282691.667,2015.338,sh
9980927.858,282694.409,2014.428,sh
9980931.413,282696.028,2014.966,tr
9980933.301,282697.731,2015.124,sh
9980938.753,282700.994,2015.627,sh
9980940.527,282698.446,2016.174,sh
9980940.754,282696.33,2016.207,sh
9980938.204,282696.587,2016.096,sh
9980936.601,282698.646,2015.732,sh
9980933.399,282701.745,2015.499,sh
9980933.936,282700.928,2015.175,sh
9980937.626,282705.276,2016.009,sh
9980942.58,282710.682,2016.402,sh
9980946.936,282709.779,2016.555,sh
9980946.933,282713.865,2016.799,sh
9980950.192,282711.853,2017.402,sh
9980950.565,282719.661,2018.014,sh
9980952.885,282722.126,2018.459,sh
9980954.663,282720.368,2018.645,sh
9980955.574,282718.748,2018.855,sh
9980956.939,282716.242,2019.012,sh
9980954.572,282715.364,2018.493,sh
9980952.863,282717.334,2018.274,sh
9980947.425,282716.198,2016.907,sh
9980942.687,282710.939,2016.368,sh
9980943.636,282707.59,2016.231,sh
9980946.844,282704.98,2016.348,sh
9980943.562,282700.455,2016.267,sh
9980946.261,282697.972,2016.351,sh
9980949.32,282699.043,2016.6,sh
9980955.742,282700.545,2017.18,sh
9980956.535,282701.64,2017.563,sh
9980954.627,282703.453,2017.512,sh
9980953.529,282702.412,2017.103,sh
9980953.029,282705.313,2017.498,sh
9980951.169,282707.655,2017.182,sh
9980953.846,282709.088,2017.894,sh
9980957.13,282711.924,2018.995,sh
9980959.745,282708.501,2018.763,sh
9980962.366,282703.627,2018.568,sh
9980955.007,282703.685,2017.604,sh
9980959.255,282699.802,2017.748,sh
9980958.158,282698.738,2017.328,sh
9980955.272,282695.62,2017.137,sh
9980951.022,282692.692,2016.709,sh
